id,title,price,city,promo_price,url
3596920,Конструктор LEGO City Wildlife Спасательный внедорожник для зверей 60301,4549,Санкт-Петербург,3999,https://www.detmir.ru/product/index/id/3596920/
3620623,Конструктор LEGO Mickey and Friends Ферма Микки и Дональда 10775,3109,Санкт-Петербург,2399,https://www.detmir.ru/product/index/id/3620623/
3985290,Конструктор LEGO Super Heroes Бэтмобиль Тумблер 76240,26389,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3985290/
3616379,Конструктор LampStory Развивающий детский с шуруповертом и отверткой,4150,Санкт-Петербург,1411,https://www.detmir.ru/product/index/id/3616379/
3599871,Конструктор магнитный Attivio 92 детали TY618,4889,Санкт-Петербург,3399,https://www.detmir.ru/product/index/id/3599871/
3200882,Конструктор LEGO Disney Frozen Шкатулка Эльзы 41168,4309,Санкт-Петербург,3869,https://www.detmir.ru/product/index/id/3200882/
3599875,Конструктор магнитный Attivio 104детали TY621,4999,Санкт-Петербург,2999,https://www.detmir.ru/product/index/id/3599875/
4870750,Конструктор My World BalaToys 463 деталей. Светодиодная подсветка,3300,Москва,1815,https://www.detmir.ru/product/index/id/4870750/
4922775,Конструктор BalaToys My World 504 детали,3000,Москва,1800,https://www.detmir.ru/product/index/id/4922775/
4805241,Конструктор My World BalaToys Оборона города Часть 3/4,1500,Москва,750,https://www.detmir.ru/product/index/id/4805241/
3092803,Конструктор LEGO DUPLO Town Грузовой поезд (10875),13789,Москва,12399,https://www.detmir.ru/product/index/id/3092803/
3187781,Конструктор LEGO Minecraft Шахта крипера 21155,8989,Москва,,https://www.detmir.ru/product/index/id/3187781/
3226557,Конструктор LEGO DUPLO Classic Коробка с кубиками большая 10914,5389,Москва,4499,https://www.detmir.ru/product/index/id/3226557/
3405527,Конструктор LEGO DUPLO My First Поезд для животных 10955,1909,Москва,1509,https://www.detmir.ru/product/index/id/3405527/
3244472,Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор 10931,2109,Москва,1889,https://www.detmir.ru/product/index/id/3244472/
3596761,Конструктор LEGO DUPLO Town Самолет и аэропорт 10961,2989,Москва,1999,https://www.detmir.ru/product/index/id/3596761/
3599865,Конструктор магнитный Attivio 66 деталей TY613,2999,Москва,1199,https://www.detmir.ru/product/index/id/3599865/
3599866,Конструктор магнитный Attivio 46деталей TY610,2999,Москва,2249,https://www.detmir.ru/product/index/id/3599866/
3244569,Конструктор LEGO Super Mario Приключения вместе с Марио 71360,5989,Москва,4779,https://www.detmir.ru/product/index/id/3244569/
3475284,Конструктор LEGO City Торговая улица 60306,7189,Москва,5999,https://www.detmir.ru/product/index/id/3475284/
3200884,Конструктор LEGO Technic Land Rover Defender 42110,20389,Москва,16999,https://www.detmir.ru/product/index/id/3200884/
4862908,Магнитный конструктор PELICAN HAPPY TOYS с шариками 156 деталей,25561,Москва,5879,https://www.detmir.ru/product/index/id/4862908/
3620624,Конструктор LEGO Friends Серферский дом на берегу 41693,7789,Москва,6699,https://www.detmir.ru/product/index/id/3620624/
3596844,Конструктор LEGO Technic Ford F-150 Raptor 42126,16789,Москва,10639,https://www.detmir.ru/product/index/id/3596844/
3405639,Конструктор LEGO Minecraft Дом-свинья 21170,5629,Москва,,https://www.detmir.ru/product/index/id/3405639/
3018843,Конструктор LEGO BOOST  Набор для конструирования и программирования (17101),16789,Москва,,https://www.detmir.ru/product/index/id/3018843/
3596758,Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать 10954,1789,Москва,1299,https://www.detmir.ru/product/index/id/3596758/
3599872,Конструктор магнитный Attivio 87деталей TY614,4799,Москва,2599,https://www.detmir.ru/product/index/id/3599872/
3596786,Конструктор LEGO Friends Волшебная акробатика 41686,2029,Москва,1799,https://www.detmir.ru/product/index/id/3596786/
3596790,Конструктор LEGO Friends Киоск на Волшебной ярмарке 41687,3109,Москва,1999,https://www.detmir.ru/product/index/id/3596790/
3889784,Детский магнитный конструктор PELICAN HAPPY TOYS Лабиринт с шариками светящийся пластиковый,18170,Москва,3997,https://www.detmir.ru/product/index/id/3889784/
3596883,Конструктор LEGO City Парк каскадёров 60293,2989,Москва,2299,https://www.detmir.ru/product/index/id/3596883/
3596755,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946,2989,Москва,2149,https://www.detmir.ru/product/index/id/3596755/
3596973,Конструктор LEGO Ninjago Сверхзвуковой самолёт 71739,10189,Москва,7999,https://www.detmir.ru/product/index/id/3596973/
3308190,Конструктор Mega Construx Пожарная машина GLK54,1399,Москва,,https://www.detmir.ru/product/index/id/3308190/
3599857,Конструктор магнитный Attivio 27деталей TY603,2299,Москва,1599,https://www.detmir.ru/product/index/id/3599857/
3405578,Конструктор LEGO My City Современный дом для семьи 60291,5389,Москва,4199,https://www.detmir.ru/product/index/id/3405578/
3092801,Конструктор LEGO DUPLO Town Железнодорожный мост (10872),2629,Москва,,https://www.detmir.ru/product/index/id/3092801/
3405579,Конструктор LEGO My City Центр города 60292,10789,Москва,8499,https://www.detmir.ru/product/index/id/3405579/
3596757,Конструктор LEGO DUPLO Town Гараж и автомойка 10948,10789,Москва,8499,https://www.detmir.ru/product/index/id/3596757/
3596925,Конструктор LEGO Super Mario Стартовый набор Приключения вместе с Луиджи 71387,5989,Москва,4779,https://www.detmir.ru/product/index/id/3596925/
3405532,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные 10952,7789,Москва,5999,https://www.detmir.ru/product/index/id/3405532/
4058546,Конструктор LEGO Disney Princess 43201,2029,Москва,,https://www.detmir.ru/product/index/id/4058546/
3596713,Конструктор LEGO Mickey and Friends Магазин мороженого Минни 10773,1909,Москва,1599,https://www.detmir.ru/product/index/id/3596713/
3153384,Модель сборная Mobicaro Экскаватор с шуруповертом-двигателем 7128596,1899,Москва,999,https://www.detmir.ru/product/index/id/3153384/
3608781,Конструктор SLUBAN Зимняя атака M38-B0981,6599,Москва,4599,https://www.detmir.ru/product/index/id/3608781/
3405525,Конструктор LEGO DUPLO Classic Шкатулка-сердечко 10909,1909,Москва,,https://www.detmir.ru/product/index/id/3405525/
3572639,Развивающий конструктор BAUER Сlassic 578 элементов,5272,Москва,2899,https://www.detmir.ru/product/index/id/3572639/
3405583,Конструктор LEGO City Fire Спасательный пожарный вертолёт 60281,2989,Москва,2499,https://www.detmir.ru/product/index/id/3405583/
3596717,Конструктор LEGO DUPLO Disney Дом и кафе Минни 10942,5389,Москва,4299,https://www.detmir.ru/product/index/id/3596717/
3596889,Конструктор LEGO City Stunt 60299,1789,Москва,1599,https://www.detmir.ru/product/index/id/3596889/
3596784,Конструктор LEGO Friends Гранд-отель Хартлейк Сити 41684,11389,Москва,,https://www.detmir.ru/product/index/id/3596784/
3226556,Конструктор LEGO DUPLO Classic Коробка с кубиками 10913,3109,Москва,,https://www.detmir.ru/product/index/id/3226556/
3608779,Конструктор SLUBAN Танк Т34/85 M38-B0978,3199,Москва,2399,https://www.detmir.ru/product/index/id/3608779/
3597030,Конструктор LEGO Super Heroes Корабль Стражей 76193,17749,Москва,,https://www.detmir.ru/product/index/id/3597030/
3405588,Конструктор LEGO City Great Vehicles Отпуск в доме на колесах 60283,1789,Москва,1499,https://www.detmir.ru/product/index/id/3405588/
3405530,Конструктор LEGO DUPLO Town Фермерский трактор и животные 10950,1909,Москва,1599,https://www.detmir.ru/product/index/id/3405530/
3758560,Конструктор LEGO Star Wars Легкий имперский крейсер 75315,16189,Москва,,https://www.detmir.ru/product/index/id/3758560/
3596716,Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука 10940,3109,Москва,2499,https://www.detmir.ru/product/index/id/3596716/
3596885,Конструктор LEGO City Арена для шоу каскадёров 60295,10789,Москва,7999,https://www.detmir.ru/product/index/id/3596885/
3405531,Конструктор LEGO DUPLO Town Конюшня для лошади и пони 10951,2989,Москва,2399,https://www.detmir.ru/product/index/id/3405531/
3596974,Конструктор LEGO Ninjago Дар Судьбы Решающая битва 71749,4309,Москва,2999,https://www.detmir.ru/product/index/id/3596974/
4658513,Гибкий конструктор с мотором PELICAN HAPPY TOYS Конструктор для мальчика девочки,11615,Москва,2787,https://www.detmir.ru/product/index/id/4658513/
3153388,Модель сборная Mobicaro Пожарная машина с шуруповертом-двигателем 7128672,1999,Москва,1199,https://www.detmir.ru/product/index/id/3153388/
3599876,Конструктор магнитный Attivio 107деталей TY622,5999,Москва,2999,https://www.detmir.ru/product/index/id/3599876/
3448523,Стол для конструирования База Игрушек с регулировкой высоты 6в1 GT-15,12259,Москва,4903,https://www.detmir.ru/product/index/id/3448523/
3596884,Конструктор LEGO Грузовик для шоу каскадёров 60294,6589,Москва,5229,https://www.detmir.ru/product/index/id/3596884/
3244473,Конструктор LEGO DUPLO Бульдозер 10930,889,Москва,649,https://www.detmir.ru/product/index/id/3244473/
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450,11389,Москва,,https://www.detmir.ru/product/index/id/3405551/
3233714,Конструктор LEGO DUPLO Большая строительная пластина 2304,1549,Москва,1299,https://www.detmir.ru/product/index/id/3233714/
